Month,electricity_consumption_GWh,HYDRO,Thermal,WIND,GEOTHERMAL,BAGASSE_BIOGAS,IMPORTS,SOLAR,Total,DC_1_Lifeline_0_30_per_kWh,DC_2_Ordinary_30_100_per_kWh,DC_3_Ordinary_100_15000_per_kWh,Small_Commercial_1_0_30_per_kWh,Small_Commercial_2_30per_kWh_100per_kWh,Small_Commercial_3_100per_kWh_1500per_kWh,SC3_Bulk_Supply_1000per_kWh_1500per_kWh,"Commercial_Industrial_1___415_V_>_15,000_per_kWh","Commercial_Industrial_2___11,000_V","Commercial_Industrial_3___33,000_V","Commercial_Industrial_4___66,000_V","Commercial_Industrial_5___132,000_V","Commercial_Industrial_6___220,000_V",Commercial_Industrial_7_SEZs,E_Mobility,Street_Lighting,Number_of_new_customers,Cummulative_Connections,400 kV Ketraco,220kv Ketraco & KenGen links,132kv Ketraco,Kplc,220 kV,132 kV,66 kV,33 kV,11 kV,Total HV and MV,415/240V or 433/250V,TOTAL,Renewable_Generation,Year,Month_num,Renewable_Share_%
2021-03-01,799.7043479200001,305.107,63.0709,199.915,460.68,0.03389,22.6442,7.78414,1059.2351299999998,17.586696,17.586696,24.604696,17.586696,24.362696,,,22.522607111111114,19.337061714285714,19.400793674418605,18.694029333333333,18.016880615384615,,,,14.561696,53781.0,8089502.0,1980.98,454.0,1094.0339999999997,,1352.3,2349.916,1187.18,36569.727,41553.0609,86541.1979,168595.1352,255136.3331,973.52003,2021,3,92.0
2021-04-01,777.9708754499998,307.92625918000005,59.58860200000007,164.706555,424.53874099999996,0.059895,15.618890000000029,7.412786599999999,979.8517287800001,17.166972,17.166972,24.184972000000002,17.166972,23.942972,,,22.10288311111111,18.917337714285715,18.981069674418606,18.27430533333333,17.597156615384616,,,,14.141972,61096.0,8149192.0,1980.98,454.0,1094.0339999999997,,1352.3,2349.916,1187.18,36569.727,41553.0609,86541.1979,168595.1352,255136.3331,904.64423678,2021,4,92.0
2021-05-01,787.9898808150001,369.023589496,116.16375900000006,130.21155000000013,385.37638699999997,0.039146,24.162309999999984,7.5901472000000005,1032.5668886960002,16.742503999999997,16.742504,23.760504,16.742504,23.518504,,,21.67841511111111,18.492869714285714,18.556601674418605,17.849837333333333,17.172688615384615,,,,13.717504,66395.0,8216253.0,1980.98,454.0,1094.0339999999997,,1352.3,2349.916,1187.18,36569.727,41553.0609,86541.1979,168595.1352,255136.3331,892.240819696,2021,5,86.0
2021-06-01,798.2468045800015,317.992122134,84.16397299999981,184.6094139999998,408.964064,0.045116,23.52444,7.4199994,1026.7191285339995,17.682252000000002,17.682252000000002,24.700252000000006,17.682252000000002,24.458252,,,22.61816311111111,19.432617714285715,19.496349674418607,18.78958533333333,18.112436615384617,,,,14.657252,69711.0,8278203.0,1980.98,454.0,1094.0339999999997,,1352.3,2349.916,1187.18,36569.727,41553.0609,86541.1979,168595.1352,255136.3331,919.0307155339999,2021,6,90.0
2021-07-01,813.956607786668,285.7937281540001,122.57970600000016,152.69405399999997,463.15713700000003,0.052577,29.10949,13.068488,1066.4551801540001,17.753492,17.753491999999998,24.771492,17.753491999999998,24.529492,,,22.689403111111112,19.503857714285715,19.567589674418606,18.86082533333333,18.183676615384616,,,,14.728492,44465.0,8337951.0,2030.98,724.0,1094.0339999999997,,1352.3,2349.916,1188.18,38051.0,42971.0,89761.41,200050.0,289811.41000000003,914.7659841540002,2021,7,86.0
2021-08-01,825.56118963,274.025654842,109.34242199999987,190.06621100000027,452.79363099999995,0.049931,26.772609999999997,17.026244,1070.076703842,17.861904,17.861904000000003,24.879904,17.861904000000003,24.637904,,,22.79781511111111,19.612269714285713,19.676001674418607,18.969237333333336,18.292088615384614,,,,14.836904000000002,29737.0,8357933.0,2030.98,724.0,1094.0339999999997,,1352.3,2349.916,1188.18,38051.0,42971.0,89761.41,200050.0,289811.41000000003,933.9616718420003,2021,8,87.0
2021-09-01,802.4231912412299,261.68056122400003,107.23868239999999,187.0599799999999,439.81178100000005,0.032213,27.2327445,18.248677400000002,1041.3046395239999,18.079051999999997,18.079052,25.097052000000005,18.079052,24.855052,,,23.01496311111111,19.829417714285714,19.893149674418602,19.186385333333334,18.509236615384616,,,,15.054052,54169.0,8410569.0,2030.98,724.0,1094.0339999999997,,1352.3,2349.916,1188.18,38051.0,42971.0,89761.41,200050.0,289811.41000000003,906.833212624,2021,9,87.0
2021-10-01,836.1402103700002,309.26170523800005,117.63083800000013,200.90518400000013,387.800114,0.014488,26.68343,23.4345714,1065.7303306380004,18.501572,18.501572,25.519572000000004,18.501572,25.277572000000003,,,23.43748311111111,20.251937714285717,20.315669674418608,19.608905333333333,18.931756615384618,,,,15.476571999999999,60809.0,8471043.0,2030.98,724.0,1094.0339999999997,,1352.3,2349.916,1188.18,38051.0,42971.0,89761.41,200050.0,289811.41000000003,921.4160626380002,2021,10,86.0
2021-11-01,806.5587848015643,293.33434537,134.89033039999995,195.68232799999973,378.49182299999995,0.035774,26.94546,23.0588774,1052.4389381699996,18.416972000000005,18.416972,25.434972,18.416972,25.192972,,,23.35288311111111,20.167337714285715,20.231069674418606,19.52430533333333,18.847156615384616,,,,15.391972,79629.0,8549537.0,2030.98,724.0,1094.0339999999997,,1352.3,2349.916,1188.18,38051.0,42971.0,89761.41,200050.0,289811.41000000003,890.6031477699997,2021,11,85.0
2021-12-01,802.3940750433808,339.13,167.2,131.45,348.496,0.03,28.16,27.91,1042.376,18.911824000000003,18.911824000000003,25.929824,18.911824000000003,25.687824,,,23.847735111111113,20.662189714285713,20.725921674418604,20.019157333333332,19.342008615384614,,,,15.886823999999999,46979.0,8595499.0,2030.98,724.0,1094.0339999999997,,1352.3,2349.916,1188.18,38051.0,42971.0,89761.41,200050.0,289811.41000000003,847.016,2021,12,81.0
